Year,Gebietseinheit,Kategorien,GeoCode,Value
2014,Delmenhorst-Stadt,Fälle,K03401,77
2015,Delmenhorst-Stadt,Fälle,K03401,84
2016,Delmenhorst-Stadt,Fälle,K03401,79
2017,Delmenhorst-Stadt,Fälle,K03401,52
2018,Delmenhorst-Stadt,Fälle,K03401,78
2019,Delmenhorst-Stadt,Fälle,K03401,59
1991,Emden-Stadt,Fälle,K03402,100
1992,Emden-Stadt,Fälle,K03402,62
1993,Emden-Stadt,Fälle,K03402,109
1994,Emden-Stadt,Fälle,K03402,172
1995,Emden-Stadt,Fälle,K03402,157
1996,Emden-Stadt,Fälle,K03402,197
1997,Emden-Stadt,Fälle,K03402,136
1998,Emden-Stadt,Fälle,K03402,143
1999,Emden-Stadt,Fälle,K03402,263
2000,Emden-Stadt,Fälle,K03402,181
2001,Emden-Stadt,Fälle,K03402,132
2002,Emden-Stadt,Fälle,K03402,115
2003,Emden-Stadt,Fälle,K03402,88
2004,Emden-Stadt,Fälle,K03402,67
2005,Emden-Stadt,Fälle,K03402,95
2006,Emden-Stadt,Fälle,K03402,46
2007,Emden-Stadt,Fälle,K03402,49
2008,Emden-Stadt,Fälle,K03402,52
2009,Emden-Stadt,Fälle,K03402,44
2010,Emden-Stadt,Fälle,K03402,61
2011,Emden-Stadt,Fälle,K03402,59
2012,Emden-Stadt,Fälle,K03402,97
2013,Emden-Stadt,Fälle,K03402,69
2014,Emden-Stadt,Fälle,K03402,34
2015,Emden-Stadt,Fälle,K03402,74
2016,Emden-Stadt,Fälle,K03402,108
2017,Emden-Stadt,Fälle,K03402,53
2018,Emden-Stadt,Fälle,K03402,70
2019,Emden-Stadt,Fälle,K03402,57
1991,Oldenburg(Oldb)-Stadt,Fälle,K03403,383
1992,Oldenburg(Oldb)-Stadt,Fälle,K03403,471
1993,Oldenburg(Oldb)-Stadt,Fälle,K03403,464
1994,Oldenburg(Oldb)-Stadt,Fälle,K03403,377
1995,Oldenburg(Oldb)-Stadt,Fälle,K03403,445
1996,Oldenburg(Oldb)-Stadt,Fälle,K03403,504
1997,Oldenburg(Oldb)-Stadt,Fälle,K03403,401
1998,Oldenburg(Oldb)-Stadt,Fälle,K03403,385
1999,Oldenburg(Oldb)-Stadt,Fälle,K03403,361
2000,Oldenburg(Oldb)-Stadt,Fälle,K03403,284
2001,Oldenburg(Oldb)-Stadt,Fälle,K03403,259
2002,Oldenburg(Oldb)-Stadt,Fälle,K03403,285
2003,Oldenburg(Oldb)-Stadt,Fälle,K03403,259
2004,Oldenburg(Oldb)-Stadt,Fälle,K03403,231
2005,Oldenburg(Oldb)-Stadt,Fälle,K03403,296
2006,Oldenburg(Oldb)-Stadt,Fälle,K03403,220
2007,Oldenburg(Oldb)-Stadt,Fälle,K03403,192
2008,Oldenburg(Oldb)-Stadt,Fälle,K03403,174
2009,Oldenburg(Oldb)-Stadt,Fälle,K03403,214
2010,Oldenburg(Oldb)-Stadt,Fälle,K03403,337
2011,Oldenburg(Oldb)-Stadt,Fälle,K03403,208
2012,Oldenburg(Oldb)-Stadt,Fälle,K03403,375
2013,Oldenburg(Oldb)-Stadt,Fälle,K03403,276
2014,Oldenburg(Oldb)-Stadt,Fälle,K03403,243
2015,Oldenburg(Oldb)-Stadt,Fälle,K03403,241
2016,Oldenburg(Oldb)-Stadt,Fälle,K03403,239
2017,Oldenburg(Oldb)-Stadt,Fälle,K03403,262
2018,Oldenburg(Oldb)-Stadt,Fälle,K03403,242
2019,Oldenburg(Oldb)-Stadt,Fälle,K03403,280
1991,Osnabrck-Stadt,Fälle,K03404,237
1992,Osnabrck-Stadt,Fälle,K03404,233
1993,Osnabrck-Stadt,Fälle,K03404,169
1994,Osnabrck-Stadt,Fälle,K03404,186
1995,Osnabrck-Stadt,Fälle,K03404,129
1996,Osnabrck-Stadt,Fälle,K03404,117
1997,Osnabrck-Stadt,Fälle,K03404,104
1998,Osnabrck-Stadt,Fälle,K03404,100
1999,Osnabrck-Stadt,Fälle,K03404,136
2000,Osnabrck-Stadt,Fälle,K03404,129
2001,Osnabrck-Stadt,Fälle,K03404,111
2002,Osnabrck-Stadt,Fälle,K03404,95
